1195,2.00
1675,1.95
2150,1.90
2579,1.85
2942,1.80
3234,1.75
3463,1.70
3640,1.65
3779,1.60
3892,1.55
3989,1.50
4076,1.45
4159,1.40
4241,1.35
4322,1.30
4405,1.25
4489,1.20
4576,1.15
4664,1.10
4755,1.05
4849,1.00
4948,0.95
5052,0.90
5164,0.85
5286,0.80
5418,0.75
5563,0.70
5722,0.65
5895,0.60
6082,0.55
6285,0.50
6500,0.45
6728,0.40
6967,0.35
7218,0.30
7483,0.25
7767,0.20
8084,0.15
8455,0.10
8917,0.05
9531,-0.00
10395,-0.05
11677,-0.10
13674,-0.15
16954,-0.20
22695,-0.25
33605,-0.30
56701,-0.35
113017,-0.40	  	
